Gss year for this respondent                       ,Welfare,Highways and bridges,Social security,Mass transportation,Parks and recreation,Assistance for childcare,Supporting scientific research        ,Developing alternative energy sources,Foreign aid,"Military, armaments, and defense",Improving the conditions of blacks,Respondent id number,Space exploration program,Improving & protecting environment,Improving & protecting nations health,Solving problems of big cities,Halting rising crime rate,Dealing with drug addiction,Improving nations education system,Ballot used for interview
2016,Not applicable,Too much,Too much,Don't know,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,156,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,Too little,Too little,About right,Too little,About right,About right,Don't know,Don't know,Don't know,157,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Too little,About right,Too little,About right,About right,About right,Too much,About right,Too little,Too much,Too little,158,About right,About right,About right,Too little,Too little,Too little,About right,Ballot a
2016,Not applicable,About right,Too little,About right,About right,Too little,Don't know,Don't know,Not applicable,Not applicable,Not applicable,159,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,About right,Too little,About right,About right,About right,Too little,Too little,Don't know,Too much,Too much,Don't know,160,Too much,Too little,Too much,Too little,Too little,Too little,About right,Ballot a
2016,About right,Too much,About right,About right,About right,Too little,About right,Too little,About right,Too much,Don't know,161,About right,Too little,Too little,Too little,Too little,About right,Too little,Ballot b
2016,Not applicable,Too little,Too little,Too little,About right,Don't know,Too little,Too little,Not applicable,Not applicable,Not applicable,162,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Too little,163,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Ballot c
2016,Too much,About right,Too little,Too little,Too little,Too little,Too little,About right,About right,Too much,Too little,164,About right,About right,Too little,About right,Too little,Too little,Too little,Ballot a
2016,Too much,Too much,Don't know,Don't know,Too little,Too much,Don't know,Don't know,Too much,Too much,About right,165,Too much,About right,About right,Too much,Don't know,About right,Too much,Ballot b
2016,Not applicable,Too little,Too little,About right,About right,About right,About right,Too little,Not applicable,Not applicable,Not applicable,166,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Don't know,About right,Don't know,Too little,Too little,Too much,Don't know,Too much,Too much,Don't know,167,Don't know,About right,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,Don't know,Don't know,Too little,About right,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,168,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,Too little,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,169,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Too little,Too little,Too little,Too much,About right,Too little,Too much,Too little,Too much,Too much,Too little,170,Too much,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too much,Too little,Too little,Don't know,Too little,Not applicable,Not applicable,Not applicable,171,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,172,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,Too much,Don't know,Too much,Too little,Too little,Don't know,Don't know,Don't know,Don't know,Don't know,173,Don't know,Too little,Too little,Don't know,Too little,Too little,Too little,Ballot b
2016,About right,Too little,About right,Too little,About right,About right,About right,About right,About right,Too much,About right,174,Too little,About right,About right,About right,Too much,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,175,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Too much,Too little,Too little,About right,Too little,About right,Too little,Don't know,Too much,Too little,Too little,176,Don't know,Too little,Too little,Too little,Too little,Too little,Too little,Ballot a
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,177,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,About right,Too little,About right,About right,Too little,Too little,Too little,Too little,Too much,Too much,About right,178,Too little,Too little,Don't know,Too little,Too little,Too little,Too little,Ballot c
2016,Too little,Too little,Too little,Too little,About right,Too little,About right,Too little,About right,Too little,Too little,179,Don't know,Don't know,Too little,Don't know,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,Too little,Too little,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,180,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
2016,Too much,Too little,Too much,Too little,Too little,Too little,Too little,Too much,Too little,Too little,Too little,181,About right,About right,Too much,Too little,Too little,Too little,Too little,Ballot c
2016,About right,Too little,Too little,Too little,About right,About right,Too little,Too little,About right,Too little,Too little,182,Too little,Don't know,Don't know,About right,Too little,Don't know,Too little,Ballot a
2016,Not applicable,About right,Too little,About right,Too much,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,183,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,About right,About right,About right,Too much,Too little,Too much,About right,About right,Too much,Too much,About right,184,Too much,Too little,About right,Too much,Too little,Too much,Too little,Ballot b
2016,Too little,Too much,Too little,Too much,Too much,About right,About right,Too little,Too much,About right,Too little,185,Too little,Too little,Too little,About right,Too little,Too little,Too little,Ballot c
2016,Not applicable,Too little,About right,Too much,About right,About right,Too little,Too little,Not applicable,Not applicable,Not applicable,186,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot b
2016,Not applicable,About right,Too little,About right,About right,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,187,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot c
2016,Not applicable,About right,About right,About right,Too little,Too little,Too little,Too little,Not applicable,Not applicable,Not applicable,188,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Not applicable,Ballot a
