text,topic
"An act to amend Section 39625.5 of the Health and Safety Code, relating to air pollution.",Environmental
"An act to amend Section 45277.5 of the Education Code, relating to public school employees.",Labor and Employment
"An act to amend Section 12935 of the Water Code, relating to water resources.",Environmental
"An act to add Section 89267.5 to the Education Code, relating to nursing degree programs.",Education
"An act to amend Section 16540 of the Welfare and Institutions Code, relating to child welfare services.",Family and Children Issues
"An act to amend Sections 930, 977, 982, 1252, and 1279 of the Unemployment Insurance Code, relating to unemployment insurance, making an appropriation therefor, and declaring the urgency thereof, to take effect immediately.",Labor and Employment
"An act to add Section 39 to the Revenue and Taxation Code, relating to taxation.","Budget, Spending, and Taxes"
"An act to add Chapter 5 (commencing with Section 85390) to Part 3 of Division 35 of the Water Code, relating to the Sacramento-San Joaquin Delta.",Environmental
"An act to amend Section 68074 of the Education Code, relating to student fees.",Education
"An act to amend Section 543 of the Public Resources Code, relating to parks.",Public Services
"An act to add Section 41514.15 to the Health and Safety Code, relating to air pollution.",Environmental
An act relating to veterans.,Military
"An act to amend Section 125001 of the Health and Safety Code, relating to newborn screening, and making an appropriation thereof.",Health
"An act to amend Sections 2101 and 2212 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 14016.55 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Sections 903.1 and 903.45 of, and to add Section 903.47 to, the Welfare and Institutions Code, relating to juvenile court costs.",Family and Children Issues
"An act to add Section 857 to the Business and Professions Code, and to add Section 128051.5 to the Health and Safety Code, relating to healing arts.",Health
"An act to amend Section 104113 of the Health and Safety Code, relating to defibrillators.",Health
An act relating to air pollution.,Environmental
"An act to add Article 5.5 (commencing with Section 14182) to Chapter 7 of Part 3 of Division 9 of the Welfare and Institutions Code, relating to Medi-Cal.",Health
"An act to amend Sections 382 and 382.1 of the Public Utilities Code, relating to public utilities.",Public Services
"An act to add Chapter 1.5 (commencing with Section 125325) to Part 5.5 of Division 106 of the Health and Safety Code, relating to public health.",Reproductive Issues
"An act to repeal and add Chapter 4.5 (commencing with Section 1701) of Part 6 of Division 2 of the Labor Code, relating to talent services.",Other
"An act to add Article 6 (commencing with Section 32297) to Chapter 2.5 of Part 19 of Division 1 of Title 1 of the Education Code, relating to pupil safety.",Education
"An act to add Chapter 6 (commencing with Section 14550) to Division 7 of the Unemployment Insurance Code, relating to workforce development.",Labor and Employment
"An act to amend Section 10618.6 of the Welfare and Institutions Code, relating to public social services.",Family and Children Issues
"An act to add and repeal Section 8600.5 of the Family Code, and to amend, repeal, and add Sections 294, 358.1, 361.5, 366.21, 366.22, 366.25, 366.26, 366.3, 16120, 16508, and 16508.1 of, and to add and repeal Section 366.24 of, the Welfare and Institutions Code, relating to Indian children.",Indigenous Peoples
"An act to amend Section 2142 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Article 4 (commencing with Section 8195) to Chapter 2.8 of Division 1 of Title 2 of the Government Code, relating to the State Capitol Sustainability Task Force.",State Agencies
"An act to add Section 1353.9 to the Civil Code, relating to common interest developments.",Labor and Employment
"An act to amend Section 66484 of the Government Code, relating to subdivisions.",Transportation
"An act to add Section 710 to the Military and Veterans Code, relating to veterans.",Military
"An act to amend Section 66468 of the Government Code, relating to subdivision map approval.",Other
"An act to amend Section 107.4 of the Revenue and Taxation Code, relating to taxation.",Military
"An act to amend Sections 8203 and 8600 of the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 18370 of, and to add Section 319.5 to, the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to add Chapter 1.5 (commencing with Section 993) to Title 6 of Part 2 of the Penal Code, relating to courts.",Judiciary
"An act to add Section 96.70 to the Revenue and Taxation Code, relating to local government finance.",Housing and Property
"An act to amend Sections 1803 and 12810 of, and to add Section 38304.1 to, the Vehicle Code, relating to vehicles.",Transportation
"An act to amend Sections 3102, 3103, and 3103.5 of, and to add Sections 3103.6 and 3103.7 to, the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 17041.5 of, to add Section 17041.6 to, and to add Chapter 3.8 (commencing with Section 7295) to Part 1.7 of Division 2 of, the Revenue and Taxation Code, relating to taxation, and making an appropriation therefor.",Transportation
"An act to amend Section 107.4 of the Revenue and Taxation Code, relating to taxation.",Military
"An act to add Section 5007.6 to the Public Resources Code, relating to the state park system.",Environmental
"An act to amend Section 2945.7 of the Civil Code, relating to foreclosure consultants.",Housing and Property
"An act to amend Section 12948 of, and to repeal Section 12949.6 of, the Water Code, relating to water desalination.",Environmental
"An act to amend Sections 8483.5 and 8483.51 of the Education Code, relating to before and after school programs.",Education
"An act to add Section 5080.42 to the Public Resources Code, relating to state parks, and declaring the urgency thereof, to take effect immediately.",Environmental
"An act to amend Section 399.12.5 of the Public Utilities Code, relating to energy.",Energy
"An act to amend Section 1749.2 of the Insurance Code, relating to insurance agents and brokers.",Insurance
"An act to amend Section 1788.1 of the Civil Code, relating to debt collection.",Business and Consumers
"An act to add Section 14216.5 to the Elections Code, and to add Section 14902.5 to the Vehicle Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend Section 21200 of the Financial Code, relating to pawnbrokers.",Business and Consumers
"An act to amend Sections 1202a, 3600, and 3700.5 of, and to repeal Sections 3601 and 3602 of, the Penal Code, relating to prisoners.",Crime
"An act to amend Section 273.5 of the Penal Code, relating to domestic violence.",Social Issues
"An act to add Section 6142 to the Penal Code, relating to the California Rehabilitation Oversight Board.",Health
"An act to amend Sections 12031 and 12050 of the Penal Code, relating to concealed firearms.",Guns
"An act to add Section 13148 to the Water Code, relating to water softeners.",Housing and Property
"An act to add Section 3103.7 to the Elections Code, relating to elections.",Campaign Finance and Election Issues
"An act to amend, repeal, and add Sections 1208.2, 2900.5, and 4532 of, and to add and repeal Sections 1203.018, 1203.019, and 1269d of, the Penal Code, relating to electronic monitoring.",Crime
"An act to amend Section 54952 of the Government Code, relating to open meetings.",Public Services
"An act to amend Section 185024 of the Public Utilities Code, relating to high-speed rail.",Transportation
An act relating to sentencing.,Crime
"An act to add Section 41020.9 to the Education Code, relating to school districts.",Education
"An act to amend Section 23114 of the Vehicle Code, relating to vehicles.",Commerce
"An act to amend and repeal Section 5076 of, and to add and repeal Section 5076.1 of, the Business and Professions Code, relating to accountants.",Business and Consumers
"An act to amend Section 63021.5 of the Government Code, relating to the Infrastructure and Economic Development Bank.",Commerce
"An act to amend Section 149.9 of the Streets and Highways Code, relating to transportation.",Transportation
"An act to amend Section 13320 of, and to add Section 13335.5 to, the Government Code, relating to the state budget.","Budget, Spending, and Taxes"
"An act to amend Section 41964 of the Health and Safety Code, relating to air pollution, and declaring the urgency thereof, to take effect immediately.",Environmental
"An act to amend Sections 14528.5 and 14528.55 of, to amend, repeal, and add Section 14528.6 of, and to add Sections 14528.56 and 14528.65 to, the Government Code, and to amend Sections 392, 485, and 538 of the Streets and Highways Code, relating to transportation, and making an appropriation therefor.",State Agencies
